OBJECTID;Name;Park Type;File Number;Parcel Count;Development Status;Map Acres;Address;Zip Code;Alternate Address;LWCF;Park ID;Initial Acquisition;Shape__Area;Shape__Length;City Council District;In Raleigh City Limits;In Raleigh ETJ;CAC;Parks Maintenance District;FEMA Lot;Point - Latitude;Point - Longitude;Open Space Facility Fee Zone;Park Website;GlobalID
131;FEMA HMGP Phase 1 - 3c;Open Space;OS-49;1;Undeveloped;0.180252856756962;829 Young St;27608;NA;No;190;10/8/1999 12:00:00 AM;7851.845703125;384.175449551391;E;1;1;Five Points;Not Assigned;1;35.81151;-78.62254;2;;cbfd9923-345e-4654-aa1d-4360fd08c921
132;FEMA HMGP Phase 1 - 3 Ann St;Open Space;OS-49;3;Undeveloped;0.689140221424105;829 Young St;27608;NA;No;191;10/8/1999 12:00:00 AM;30019.0677490234;699.901490970564;E;1;1;Five Points;Not Assigned;1;35.81194;-78.62372;2;;3333bb0c-d89f-4989-86de-6db4d1f55a1c
133;FEMA HMGP Phase 1 - 3 Nobel;Open Space;OS-49;8;Undeveloped;1.88058139167694;829 Young St;27608;NA;No;192;10/8/1999 12:00:00 AM;81918.4530029297;1283.3802556412;E;1;1;Five Points;Not Assigned;1;35.81189;-78.62469;2;;9c5393a0-9ab5-45d7-80ad-36397263e390
134;FEMA HMGP Phase 1 - 4a;Open Space;OS-50;1;Undeveloped;0.347026330429521;500 Bailey Dr;27610;"517,600 Bailey Dr; 1813,1817,1809 Waller Pl";No;193;10/14/1999 12:00:00 AM;15261.9672851563;494.360361385451;C;1;1;South;Not Assigned;1;35.75583;-78.63092;4;;0e4e902c-6f5b-481e-aefd-bb6740cef195
135;FEMA HMGP Phase 1 - 4b;Open Space;OS-50;5;Undeveloped;1.04220506820872;500 Bailey Dr;27610;"517,600 Bailey Dr; 1813,1817,1809 Waller Pl";No;194;10/14/1999 12:00:00 AM;44654.26953125;1158.61530090763;C;1;1;South;Not Assigned;1;35.75655;-78.62988;4;;a0e2e756-f08e-4f8b-871d-bc7165b5e883
136;Pearl Road;Special;SP-11;1;Undeveloped;155.046115463637;4800 Pearl Rd;27610;6400 Diamond Dr;No;195;;6753835.80505371;13407.4182620425;C;1;1;South;2;0;35.71828;-78.55421;4;;acaead69-723f-4434-9807-1aaad061a5cc
137;Smoky Hollow;Special;SP-12;1;Undeveloped;13.659741421429;1027 N West St;27603;NA;No;196;;595020.716430664;4248.01509820375;D;1;1;Mordecai;Not Assigned;0;35.79118;-78.64322;4;;f9f499ca-bd68-45c5-9bf9-667cfa4f81d7
138;Buck Jones;Open Space;OS-5;3;Undeveloped;2.33487450662004;473 Buck Jones Rd;27606;NA;No;126;10/20/1967 12:00:00 AM;101707.540039063;1799.6167793085;D;1;1;West;1;0;35.7769;-78.73199;3;;f28e2241-328b-48cd-bc1a-d11a72a0d349
139;FEMA HMGP Phase 1 - 5;Open Space;OS-51;2;Undeveloped;1.23351099007382;2008 Weybridge Dr;27615;6925 Slade Hill Rd;No;127;10/5/1999 12:00:00 AM;53731.9538574219;1027.85014529028;A;1;1;North;Not Assigned;1;35.87452;-78.60491;2;;3151ef20-91fe-4db4-9edb-962a17be6e86
140;FEMA HMGP Phase 1 - 7;Open Space;OS-53;1;Undeveloped;0.78548549939473;2817 Avent Ferry Rd;27606;NA;No;128;10/15/1999 12:00:00 AM;32988.2248535156;748.760502311599;D;1;1;Southwest;Not Assigned;1;35.76991;-78.68896;3;;df0a1456-bbf1-4575-8c8b-54ebffe6f6e0
141;Municipal Building;Special;SP-16;3;Developed;3.65513096312972;222 W Hargett St;27601;NA;No;129;12/7/1971 12:00:00 AM;159218.141479492;1660.93931367098;D;1;1;Central;5;0;35.77903;-78.64255;4;;b6ba29f5-daa3-4852-9154-3429368d0005
142;Fayetteville St;Special;SP-2;0;Developed;4.03225312568321;Right of Way;27601;NA;No;130;;175645.648803711;3739.44494753167;C;1;1;Central;5;0;35.77708;-78.63927;4;;7ba23a88-3fcb-4501-94cf-d1f26b729809
143;Hymettus Woods;Special;SP-20;1;Developed;4.51638702383994;901 Dixie Trl;27607;NA;No;131;8/20/1969 12:00:00 AM;195176.305786133;2998.20999626808;D;1;1;Hillsborough-Wade;4;0;35.8019;-78.67693;1;https://raleighnc.gov/places/hymettus-woods-park;3b7c9eb9-0009-4e39-90ae-0a0d5b6532f0
144;New Bern Place;Special;SP-22;2;Developed;0.10869104676431;218 New Bern Pl;27601;NA;No;132;4/1/1969 12:00:00 AM;4347.03942871094;329.053045523485;C;1;1;Central;5;0;35.78009;-78.63544;4;;fadc0367-3072-437a-a9d8-7168bfefa87b
145;Mordecai Annex;Special;SP-23;2;Undeveloped;0.726466579971999;913 Mordecai Dr;27604;915 Mordecai Dr;No;133;8/22/1989 12:00:00 AM;31645.0106201172;721.982552713645;C;1;1;Mordecai;5;0;35.79251;-78.63464;4;;284e42c9-5b1b-4836-a0c3-31a7df00c727
146;Brier Creek;Community;C-23;1;Developed;9.97426566410957;10810 Globe Rd;27617;NA;No;135;8/13/2003 12:00:00 AM;434480.75012207;2907.11485091264;E;1;1;Northwest;3;0;35.90051;-78.80682;1;https://raleighnc.gov/places/brier-creek;0d4a6e6e-1001-4749-a5ab-f2dcc8b884fc
147;Mordecai Square;Special;SP-3;2;Developed;3.16434550368445;1 Mimosa Street;27604;NA;No;136;10/16/1969 12:00:00 AM;137839.441162109;2007.62218207537;C;1;1;Mordecai;5;0;35.79282;-78.63316;4;https://raleighnc.gov/places/mordecai-historic-park;d3117de4-375d-4055-b846-5b57e80f84fd
148;Canoe Launch at Falls Lake;Special;SP-30;1;Developed;9.13420547382339;13304 Creedmoor Rd;27587;NA;Yes;137;3/15/1997 12:00:00 AM;397887.581665039;3718.69499411933;B;0;1;North;6;0;35.93991;-78.5771;2;;604cdec2-7685-4491-80b9-6e137852bcd3
149;Moore Square;Special;SP-4;1;Developed;4.09028659197361;201 South Blount St;27601;NA;No;138;;178173.596801758;1689.14782926622;C;1;1;Central;5;0;35.77749;-78.6358;4;https://raleighnc.gov/places/moore-square;386975ef-e984-4786-bb98-31610e1c6475
150;Forestville Road Property;Neighborhood;N-40;1;Undeveloped;26.29336825108;4913 Forestville Rd;27616;NA;No;139;10/1/2004 12:00:00 AM;1126747.94104004;4858.68546852492;B;1;1;Forestville;6;0;35.84866;-78.50827;4;;c0cebdfa-2f92-4f2d-ac50-875002c735c3
151;Poole Road Property;Neighborhood;N-39;2;Undeveloped;5.63109802697686;5326 Poole Rd;27610;NA;No;140;10/17/2003 12:00:00 AM;245291.611083984;2288.15762433997;C;1;1;Southeast;2;0;35.75834;-78.55025;4;;65147191-b4b1-44e3-b83a-61df8bb53434
152;Charlotte H Green;Neighborhood;N-25;3;Undeveloped;1.02338016732113;3103 White Oak Rd;27609;NA;No;141;12/30/1986 12:00:00 AM;44578.6177978516;927.145168971396;E;1;1;Glenwood;4;0;35.81888;-78.64513;2;;4ea60819-58f3-423b-8d02-010bf6449a99
153;Watkins Road Property;Community;C-22;1;Undeveloped;38.3612864186077;0 Watkins Rd;27616;NA;No;142;7/30/2003 12:00:00 AM;1671024.3203125;7375.39263151192;B;0;0;;6;0;35.86637;-78.49544;4;;7dde1f04-ffd1-47f6-acee-77b77b495d7b
154;Hwy 50 - Beaverdam;Special;SP-35;1;Undeveloped;212.21032412893;1201-1601 Danbury Rd;27587;NA;No;143;5/9/2007 12:00:00 AM;9243918.69543457;16862.5538047023;;0;0;;3;0;36.05429;-78.68887;;;0ad62fa1-adb4-4fc5-8e94-78f6ea91c858
155;Buffaloe Road Athletic;Metro;METRO-8;1;Developed;165.581188683855;5900 Buffaloe Rd;27604;NA;No;144;7/7/1999 12:00:00 AM;7212745.43103027;11695.9235529162;B;1;1;Northeast;6;0;35.83827;-78.53622;4;https://raleighnc.gov/places/buffaloe-road-athletic-park;ea398c1d-4ea9-43d2-8a76-a3792a362d10
156;Carolina Pines;Community;C-2;1;Developed;38.7141523948439;2305 Lake Wheeler Rd;27603;NA;Yes;145;1/1/1962 12:00:00 AM;1686395.22277832;7204.42619178444;D;1;1;Southwest;1;0;35.74857;-78.66727;3;https://raleighnc.gov/places/carolina-pines-park;55f7637b-810b-47aa-8c38-581809d7e293
157;Annie Louise Wilkerson, MD Nature Preserve;Nature Preserve;NP-4;2;Developed;156.321374184739;11408 Raven Ridge Rd;27614;NA;No;146;9/15/2005 12:00:00 AM;6836433.34484863;11882.6746287996;;0;0;;3;0;35.92369;-78.59887;;https://raleighnc.gov/places/annie-louise-wilkerson-md-nature-preserve;7ab57cbd-3ba8-4ca5-b8c1-78d654b5ae2f
158;Honeycutt;Neighborhood;N-29;1;Developed;29.992384782785;1032 Clear Creek Farm Rd;27615;NA;No;147;6/12/1996 12:00:00 AM;1306473.50708008;5487.62507062741;;0;0;;3;0;35.9023;-78.6259;;https://raleighnc.gov/places/honeycutt-park;50e7d917-3d17-42a4-b8ac-a4d3aacc8779
159;Durant Annex;Special;SP-36;1;Undeveloped;15.057349490719;8305 Camp  Durant Rd;27615;NA;No;148;4/9/1999 12:00:00 AM;655900.767333984;3524.78797709184;B;1;1;North;6;0;35.89039;-78.57469;2;;64094fcf-18a3-4949-bcb4-706a9049c426
160;Milburnie;Community;C-21;8;Developed;88.1742403306308;1101 Old Milburnie Rd;27604;NA;No;149;6/1/1990 12:00:00 AM;3840885.27270508;15173.0085172588;B;1;1;Northeast;Not Assigned;0;35.80284;-78.54224;4;;1e0a09b5-d928-4b9d-8e45-76603d8ad4c1
161;Highhill Road Property;Neighborhood;N-42;1;Undeveloped;6.43058347308101;8805 Highhill Rd;27615;NA;No;150;12/27/2007 12:00:00 AM;280117.336547852;2156.03815581922;A;1;1;North;3;0;35.90521;-78.64383;2;;4d7f1ccf-b5c4-4a7d-af95-943f1cc09d08
162;Latta University Historic Park;Special;SP-37;1;Developed;1.97278505664627;1001 Parker St;27607;NA;No;151;11/16/2007 12:00:00 AM;86586.6705322266;1203.0403598573;D;1;1;Hillsborough-Wade;4;0;35.79631;-78.66302;3;;9065f69e-a929-41a4-96a5-ce135e7a5dfc
163;Millbrook-Exchange;Community;C-4;2;Developed;69.5296424976346;1815 Spring Forest Rd;27615;NA;No;152;1/1/1971 12:00:00 AM;3028723.34191895;8698.37815545266;A;1;1;North;3;0;35.87069;-78.60457;2;https://raleighnc.gov/places/millbrook-exchange-park;e824fd69-bcb9-46e4-8d52-7d531bd1d7cc
164;Hertford Village;Mini;M-7;1;Developed;0.324038042576298;205 Blanchard St;27603;NA;No;153;1/1/1970 12:00:00 AM;14115.1535644531;465.957225755966;D;1;1;Southwest;1;0;35.74427;-78.64301;4;https://raleighnc.gov/places/hertford-village-park;fa4796be-371f-43ad-b87c-17077e34f55c
165;Ridge Road;Neighborhood;N-8;1;Developed;6.77589824419606;1709 Ridge Rd;27607;NA;No;154;7/30/1981 12:00:00 AM;291515.638793945;2553.58743650426;E;1;1;Glenwood;4;0;35.81387;-78.68516;1;;d0eef55c-aaf7-4fd6-9149-4f3f97bda50b
166;West Park;Open Space;OS-31;1;Developed;3.39721677186516;300 W Park Dr;27605;NA;No;155;9/12/1928 12:00:00 AM;147983.354492188;3236.25744422239;D;1;1;Hillsborough-Wade;4;0;35.78554;-78.65385;3;;e688a05b-9ab1-445e-b764-f0e78ac7c1ad
167;Baileywick;Community;C-16;1;Developed;50.2757838661663;9501 Baileywick Rd;27615;NA;No;156;10/31/1995 12:00:00 AM;2190021.9050293;8723.9683907233;A;1;1;North;3;0;35.90759;-78.66848;1;https://raleighnc.gov/places/baileywick-park;f92a2341-6b01-4f68-92ab-7d81a0aafc36
168;River Cane Wetland Park;Neighborhood;N-43;1;Undeveloped;27.2433490496525;4700 Kyle Dr;27616;NA;No;157;10/29/2008 12:00:00 AM;1186725.03198242;4514.11750315753;B;1;1;Northeast;6;0;35.84327;-78.56509;4;;1bc5db6c-ee60-4c68-a239-e236e1e73b21
169;Convention Center;Special;SP-40;1;Developed;4.00096787865067;500 S. Salisbury St;27601;NA;No;158;7/2/2004 12:00:00 AM;173355.054443359;1665.50026955216;D;1;1;Central;5;0;35.77365;-78.64126;3;;2cef62f8-821f-468f-815a-32964c7f0396
170;Lake Wheeler;Metro;METRO-2;8;Developed;873.91900007076;6404 Lake Wheeler Rd;27603;NA;Yes;159;1/5/1956 12:00:00 AM;38068063.9146729;59830.049223249;;0;0;;1;0;35.6932;-78.708;;https://raleighnc.gov/places/lake-wheeler-park;dae16c1d-b1c4-470e-986d-1280004c4c52
171;Greystone Recreation Center;Neighborhood;N-45;1;Developed;0.223271178416224;7713-55 Leadmine Rd;27615;NA;No;160;;9855.09985351563;405.020829585191;A;1;1;North;3;0;35.88685;-78.66021;1;https://raleighnc.gov/places/greystone-recreation-center;875deb0c-f56f-41d9-8ed9-d3c242117c55
172;O'Rorke-Catholic Cemetery;Special;SP-18;1;Developed;0.978910835931298;1101 Pender St;27610;NA;No;161;8/3/2009 12:00:00 AM;42641.5266113281;835.611172268134;C;1;1;North Central;Not Assigned;0;35.78289;-78.62169;4;;a847cc48-f17e-404f-8a7e-905d4d73137f
173;Mount Hope Cemetery;Special;SP-19;1;Developed;28.5668089609764;1120 Fayetteville St;27601;NA;No;162;1/4/1927 12:00:00 AM;1244375.17541504;5140.24314841583;D;1;1;Central;1;0;35.76451;-78.6457;3;;8d005164-e762-4b20-872f-7a803ba6471c
174;Leesville;Community;C-13;2;Developed;55.9914400269071;5105 Country Trail;27613;NA;No;163;10/2/1990 12:00:00 AM;2438996.88366699;6299.85778238699;E;1;1;Northwest;3;0;35.88424;-78.71549;1;https://raleighnc.gov/places/leesville-park;b34337a7-e5b4-45cf-85a5-f19a3d903fdb
175;City Plaza;Special;SP-38;1;Developed;1.11496867859325;421 Fayetteville St;27601;NA;No;164;;48568.2301025391;1150.00146502421;D;1;1;Central;5;0;35.77442;-78.63937;4;;8c1ac200-bceb-445b-aba1-4c9708c25537
176;Neuse River Park;Community;C-24;1;Undeveloped;84.104803776992;12098 Old Falls of Neuse Rd;27587;NA;No;165;3/27/2010 12:00:00 AM;3663619.90686035;15465.0490344748;B;1;1;North;6;0;35.93476;-78.57254;2;;4369d9f8-da64-461f-9532-930e869942ce
177;Avent Ferry Rd;Open Space;OS-82;1;Undeveloped;2.33995488966308;4200 Avent Ferry Rd;27606;NA;No;166;12/1/1981 12:00:00 AM;101928.842407227;1718.99184405281;D;1;1;West;1;0;35.76622;-78.71195;3;;043e4378-f8db-4b96-95b6-5cca9c91b60b
178;Hodges Mill Creek Property;Community;C-25;1;Undeveloped;49.1560072128576;5150 Watkins Rd;27591;NA;No;167;2/26/2010 12:00:00 AM;2141244.2388916;7707.18318476431;B;1;1;Forestville;Not Assigned;0;35.85212;-78.47928;4;;348e70d0-50c1-4143-9486-d256b3c1dde6
179;Civic Center Parking Lot;Special;SP-13;2;Developed;2.5020565679398;10 W South St;27601;NA;No;168;6/27/1975 12:00:00 AM;108990.020019531;1457.99989933846;D;1;1;Central;5;0;35.77256;-78.6395;4;;205ed33d-e81d-4c0f-be00-335bd7959756
180;Lake Johnson;Metro;METRO-3;19;Developed;472.34404915714;4601 Avent Ferry Rd;27606;NA;Yes;169;1/1/1952 12:00:00 AM;20575389.0830078;33472.4424958941;D;1;1;West;1;0;35.75918;-78.71024;3;https://raleighnc.gov/places/lake-johnson-park;2d731c33-5068-4705-9408-77680d9f6a80
