OBJECTID;Name;Park Type;File Number;Parcel Count;Development Status;Map Acres;Address;Zip Code;Alternate Address;LWCF;Park ID;Initial Acquisition;Shape__Area;Shape__Length;City Council District;In Raleigh City Limits;In Raleigh ETJ;CAC;Parks Maintenance District;FEMA Lot;Point - Latitude;Point - Longitude;Open Space Facility Fee Zone;Park Website;GlobalID
200;Exchange Plaza;Special;SP-49;0;Developed;0.204410164158858;1 Exchange Plaza;27601;NA;No;200;;8904.14233398438;503.919020720076;C;1;1;Central;5;0;35.77753;-78.63872;4;;b2517898-3850-44c6-85bc-4b379cd71aa4
201;Market Plaza;Special;SP-50;0;Developed;0.21126938070465;1 Market Plaza;27601;NA;No;201;;9202.93115234375;507.276745500098;C;1;1;Central;5;0;35.77726;-78.63874;4;;0d03ce5c-0b50-4aaf-a8e1-c2d25dfe5043
205;Poole Road Canoe Launch;Greenway;G-507;2;Developed;7.1569859115272;6501 Poole Rd;27610;NA;No;203;1/1/1972 12:00:00 AM;311759.553100586;2350.15064919538;;0;1;Southeast;Not Assigned;0;35.75524;-78.53342;4;;a6253d05-9ddc-474d-b774-813e5ba43f90
214;Tucker House;Special;SP-9;2;Developed;0.671998479136794;418 N Person Street;27601;;No;204;4/11/1974 1:07:20 PM;29272.3709716797;697.530771632008;C;1;1;North Central;5;0;35.78534;-78.63409;4;https://raleighnc.gov/places/tucker-house;3953250b-6695-4aa7-98e8-2b4935937624
225;Pope House;Special;SP-41;1;Developed;0.0920849515246872;511 S Wilmington Street;27601;;No;205;8/19/2011 12:00:00 AM;4011.23645019531;270.763416894561;C;1;1;Central;5;0;35.77372;-78.63819;4;;4ee63ef4-5f43-44ab-9134-f3749c406758
226;City of Raleigh Museum;Special;SP-47;1;Developed;0.152715899702784;220 Fayetteville St;27601;;No;206;;6632.5859375;483.138862767798;C;1;1;Central;Not Assigned;0;35.77767;-78.63976;4;https://raleighnc.gov/parks/content/PRecRecreation/Articles/HRMCityMuseum.html;6e6d6462-df04-4814-a731-aed933300ab2
240;Chavis Way;Greenway;G-124;3;Developed;3.14592286857099;528 E Hargett St;27601;"530 E MartinSt;401 Chavis Way";No;184;;137036.948242188;3228.25912604759;C;1;1;South Central;5;0;35.77594;-78.63113;4;;65a3c93b-d407-4083-a844-db59e11d89c5
269;Joslin Garden;Special;SP-51;1;Developed;4.1636355182033;2431 W Lake Dr;27609;NA;No;207;;179610.72668457;2314.28335577834;E;1;1;Glenwood;4;0;35.81719;-78.64659;2;;28536955-f2c9-4219-a7f4-1bcd44fdf84c
337;Winthrop Drive;Greenway;N-49;2;Undeveloped;6.44847166253941;5613 Winthrop Dr;27612;5701 Winthrop Dr;No;208;11/10/2020 12:00:00 AM;280896.549438477;2444.71487043472;E;1;1;Northwest;3;0;;;1;;0c8c2b76-3d84-4c47-a5a2-88a12857d676
364;Pullen;Metro;METRO-1;1;Developed;66.3826898778;410 Park Ave;27606;NA;No;32;5/4/1887 12:00:00 AM;2891641.53674316;11809.4916409386;D;1;1;Hillsborough-Wade;Destination Parks;0;35.7806;-78.66396;3;https://raleighnc.gov/places/pullen-park;effb836b-bfac-4cf6-9a95-d0d10972726c
